,nodeA,nodeB
0,0,0
1,0,99
2,0,111
3,0,381
4,0,415
5,0,514
6,0,585
7,0,690
8,0,691
9,0,783
10,0,784
11,0,954
12,1,153
13,1,732
14,1,1937
15,2177,2903
16,1011,1034
17,1011,2028
18,1011,2029
19,2179,2200
20,2,962
21,1012,2181
22,1012,2031
23,1013,1417
24,1013,1427
25,1013,1545
26,1013,2024
27,1014,1059
28,1014,1365
29,1014,1378
30,1015,1236
31,1015,1439
32,1015,1440
33,1015,2093
34,2183,2677
35,2183,845
36,2183,3156
37,1016,2138
38,3,634
39,2184,2306
40,2184,2356
41,2185,2539
42,1017,1264
43,1017,1549
44,1017,591
45,1018,1524
46,4,588
47,2186,3139
48,1019,609
49,1019,2064
50,2187,2666
51,5,36
52,5,63
53,5,97
54,5,603
55,5,949
56,1021,1176
57,6,64
58,6,682
59,1022,1907
60,1023,1875
61,2188,3300
62,1024,1527
63,2189,2303
64,2189,2634
65,2190,3145
66,8,868
67,8,1986
68,1029,1100
69,1029,1109
70,1029,1248
71,2192,2488
72,1030,1244
73,1031,1487
74,1031,1488
75,1031,1645
76,1031,1872
77,1032,2117
78,9,158
79,9,202
80,9,260
81,9,559
82,9,820
83,9,970
84,11,387
85,11,945
86,1033,1759
87,1033,2014
88,1033,2015
89,1034,1665
90,1034,1666
91,1035,1491
92,1036,1485
93,1037,1042
94,1037,1309
95,1037,1679
96,2195,2195
97,2195,2209
98,2196,55
99,2196,3279
100,2197,2504
101,2198,2198
102,2199,3025
103,1038,1107
104,1038,1174
105,1038,1404
106,1038,1536
107,1038,1636
108,1038,1682
109,1038,1769
110,1039,1212
111,1040,1076
112,1040,1078
113,1040,1309
114,1040,1679
115,1041,2036
116,2201,2201
117,2202,2460
118,2202,779
119,2202,828
120,2202,3162
121,1042,1037
122,1042,1679
123,2203,2911
124,1043,1138
125,1043,1828
126,1043,1893
127,1043,2139
128,1043,2165
129,2205,2899
130,2205,2900
131,1044,1274
132,1045,1453
133,1045,1704
134,1045,1705
135,1045,1944
136,1045,1954
137,1045,1955
138,1045,1980
139,1045,2002
140,1046,1286
141,1046,1302
142,1046,1521
143,1046,1532
144,1046,1891
145,1046,1902
146,1046,2024
147,1047,1127
148,1047,1442
149,1047,1613
150,1047,1636
151,1047,1679
152,1047,1776
153,2206,2675
154,2206,3099
155,1048,1028
156,2207,2632
157,2207,2855
158,1049,1049
159,1050,1168
160,1050,1254
161,12,508
162,12,1741
163,12,777
164,1051,1253
165,1051,2121
166,2210,2275
167,2210,1707
168,1054,1491
169,1055,1961
170,1055,1962
171,1055,1963
172,13,250
173,14,868
174,2211,2326
175,1056,1056
176,1056,1161
177,2212,2423
178,2212,2474
179,2212,3132
180,1057,1254
181,16,145
182,2213,2244
183,2213,3258
184,1058,1236
185,1058,2024
186,2214,2845
187,2214,976
188,1059,1014
189,1059,1365
190,1059,1378
191,18,59
192,20,6
193,2217,3037
194,1060,1123
195,2218,3194
196,21,1678
197,21,680
198,22,118
199,22,303
200,22,335
201,22,455
202,22,469
203,22,599
204,22,668
205,22,899
206,2219,2391
207,2220,2220
208,2221,2513
209,2221,2665
210,2221,3115
211,23,309
212,23,704
213,24,127
214,24,392
215,24,406
216,24,685
217,24,947
218,24,952
219,1061,1943
220,1063,1229
221,1063,1707
222,2222,2567
223,1064,1811
224,25,69
225,25,357
226,25,655
227,25,683
228,25,888
229,2224,2779
230,2224,2780
231,27,393
232,1065,1093
233,2225,2398
234,2226,2341
235,1066,1171
236,1066,1961
237,1066,1962
238,1066,1963
239,2228,3299
240,1067,1236
241,1067,1251
242,2229,2597
243,2231,2231
244,1068,1209
245,1068,235
246,1068,1515
247,1068,592
248,1068,1718
249,1068,2115
250,2232,2540
251,2232,3033
252,2232,3203
253,2233,2698
254,2233,3158
255,2235,2235
256,2235,2992
257,1070,1236
258,1071,1744
259,28,48
260,28,54
261,28,105
262,28,106
263,28,153
264,28,633
265,28,987
266,2236,2193
267,30,1203
268,30,1239
269,30,1282
270,30,1650
271,30,1788
272,30,1991
273,30,2064
274,30,2149
275,1073,1075
276,29,740
277,29,793
278,29,818
279,29,859
280,31,2202
281,31,1282
282,31,1357
283,31,297
284,31,1489
285,31,2665
286,31,2774
287,31,2812
288,31,1740
289,31,646
290,31,732
291,31,3028
292,31,779
293,31,882
294,31,2082
295,1075,1169
296,1076,1078
297,1077,1527
298,1078,1190
299,1078,1600
300,32,592
301,32,665
302,32,686
303,32,687
304,32,697
305,32,845
306,1079,1227
307,1079,1245
308,1079,1651
309,1079,1742
310,1079,1823
311,1079,1931
312,2241,2691
313,1080,1189
314,1080,1195
315,1080,1583
316,1081,1141
317,1081,1950
318,2242,2665
319,33,260
320,2243,2324
321,2243,3074
322,1083,1083
323,1083,1196
324,1083,1390
325,1083,1439
326,1083,1440
327,1083,1912
328,1083,1939
329,1083,2093
330,34,180
331,34,366
332,34,1587
333,34,573
334,34,697
335,34,828
336,34,829
337,2245,2310
338,2245,2390
339,2245,2483
340,1084,2158
341,1086,1480
342,1088,1236
343,35,92
344,35,500
345,1090,1107
346,1090,1174
347,1090,1404
348,1090,1608
349,2246,2246
350,2246,3034
351,1092,2009
352,37,1267
353,37,182
354,37,2464
355,37,310
356,37,444
357,37,1724
358,37,828
359,1093,2026
360,2248,2746
361,1094,1317
362,1094,1676
363,39,1010
364,40,146
365,40,148
366,40,177
367,40,411
368,40,480
369,40,621
370,40,625
371,1096,1490
372,1098,133
373,41,418
374,41,2773
375,2249,2249
376,1100,1579
377,1100,1723
378,2250,2904
379,1101,1118
380,1101,1441
381,1101,1609
382,1101,1840
383,1101,1864
384,1101,2132
385,1101,2133
386,1101,2170
387,1101,2171
388,1102,1673
389,1102,1958
390,2252,3310
391,44,632
392,44,868
393,1103,2103
394,45,733
395,45,751
396,2256,2256
397,2256,2871
398,2257,3021
399,2258,2476
400,2258,2737
401,1106,1132
402,1106,1339
403,2259,2427
404,2259,2442
405,2259,2744
406,1107,1200
407,1107,1404
408,1107,1425
409,1108,1317
410,1108,1676
411,2261,2306
412,2261,2356
413,2262,2412
414,2263,2951
415,2263,1813
416,2263,2959
417,2264,2223
418,2265,2204
419,47,213
420,47,778
421,48,106
422,1113,1395
423,1114,1187
424,1114,2058
425,1114,2059
426,1114,2104
427,51,355
428,51,356
429,51,438
430,51,470
431,51,481
432,51,516
433,51,597
434,2273,2273
435,1116,1893
436,1116,2139
437,53,161
438,53,309
439,2274,3127
440,2274,2044
441,1119,1119
442,1119,2036
443,1120,1210
444,1120,1256
445,1120,1604
446,1120,1606
447,1120,1818
448,55,3279
449,55,971
450,56,1824
451,56,3291
452,57,1127
453,57,1253
454,57,157
455,57,1536
456,57,1608
457,57,1636
458,57,1682
459,57,1769
460,57,1981
461,58,180
462,58,302
463,58,697
464,2276,626
465,60,443
466,60,586
467,1121,1674
468,1121,2113
469,2277,3029
470,2278,1198
471,2278,1469
472,2278,686
473,2278,3040
474,61,944
475,62,802
476,2281,2198
477,1125,1250
478,1125,1286
479,1125,1302
480,1125,1891
481,1128,1588
482,1129,1937
483,1129,1969
484,1131,1885
485,2282,1518
486,63,949
487,64,91
488,64,210
489,64,239
490,64,569
491,65,152
492,67,54
493,67,105
494,67,176
495,1134,1422
496,1135,1747
497,1136,1494
498,1137,1964
499,2285,2285
500,2285,2616
501,69,355
502,69,356
503,69,516
504,1138,1801
505,1138,2168
506,70,750
507,2288,2311
508,71,190
509,71,939
510,77,813
511,1141,1248
512,1143,1980
513,1143,2103
514,2296,2763
515,1145,1139
516,78,534
517,78,732
518,2298,3023
519,2299,2253
520,2299,2259
521,2302,2284
522,2302,2506
523,1147,1874
524,1147,1952
525,79,1019
526,79,37
527,79,103
528,79,2460
529,79,278
530,79,2677
531,79,460
532,79,1724
533,79,828
534,79,3162
535,2305,2905
536,2306,2306
537,2306,2356
538,1148,1403
539,1148,1551
540,1148,1687
541,1148,710
542,1150,1236
543,1150,1262
544,1150,1294
545,1150,421
546,1150,1506
547,1150,1508
548,1150,1659
549,1150,2118
550,1151,1301
551,1151,1960
552,2312,3148
553,2312,3149
554,84,743
555,1152,2949
556,85,366
557,85,619
558,85,697
559,1153,1329
560,1153,1342
561,1153,1629
562,1154,1117
563,1154,1135
564,1155,1213
565,86,26
566,86,262
567,86,272
568,86,460
569,86,461
570,86,585
571,86,626
572,86,769
573,86,797
574,86,1006
575,2314,3282
576,2316,2406
577,1158,1214
578,1158,1461
579,1158,1571
580,87,87
581,87,597
582,2317,2457
583,88,152
584,88,154
585,88,1281
586,88,779
587,88,1998
588,88,1999
589,88,2073
590,1159,1257
591,1159,1287
592,1160,1160
593,1160,1369
594,1160,2083
595,89,546
596,89,548
597,2319,2561
598,2320,2401
599,2320,2638
600,2322,2605
601,2322,3203
602,2324,2324
603,2324,3074
604,1165,1788
605,1165,2066
606,2325,2594
607,2327,3221
608,1168,1511
609,1168,1544
610,1168,873
611,1168,2096
612,1168,2106
613,2328,3153
614,2329,2329
615,2332,1173
616,1174,1200
617,1174,1404
618,1174,1425
619,2333,2500
620,1175,278
621,1175,1360
622,1175,1385
623,1175,2173
624,1175,2174
625,1176,1897
626,2335,3200
627,2335,3247
628,96,913
629,96,997
630,97,5
631,97,36
632,97,63
633,97,949
634,1178,1178
635,1178,1871
636,1180,1196
637,99,723
638,99,931
639,99,952
640,100,680
641,1183,1836
642,1183,1837
643,2338,3059
644,2339,2596
645,2339,974
646,102,267
647,2340,2400
648,2340,725
649,104,129
650,104,131
651,104,134
652,104,140
653,1185,1945
654,1186,1648
655,105,176
656,105,180
657,2344,2456
658,2344,2624
659,2345,2230
660,108,1494
661,108,383
662,108,2125
663,2347,2860
664,1193,1548
665,1193,2112
666,110,584
667,2348,2548
668,1197,1587
669,113,382
670,2350,2793
671,2350,2907
672,2351,3013
673,1202,1183
674,1202,1841
675,115,569
676,115,671
677,2352,2479
678,1203,1432
679,1203,1964
680,1203,2151
681,2353,2565
682,1204,1208
683,1206,1210
684,1206,1256
685,1206,1604
686,1206,1606
687,1206,1818
688,2357,2354
689,1209,1748
690,117,117
691,119,810
692,2360,2839
693,2361,130
694,2361,2556
695,2361,3255
696,2362,614
697,120,634
698,2364,2418
699,2365,3285
700,121,866
701,1219,1236
702,2368,2368
703,123,310
704,123,547
705,123,668
706,123,669
707,1220,1075
708,1220,1169
709,1220,1199
710,1220,1387
711,2369,3070
712,1222,1540
713,1222,1807
714,1222,2044
715,1223,1711
716,1223,1712
717,1223,1713
718,1223,1964
719,1223,2099
720,124,881
721,2371,377
722,2372,2372
723,2374,2420
724,2375,2269
725,2375,3213
726,2375,3214
727,2375,3216
728,2376,2965
729,126,617
730,1226,235
731,1226,1322
732,1226,592
733,1226,1821
734,1227,2792
735,130,182
736,130,1498
737,2378,2682
738,2378,2683
739,1230,1191
740,1230,1514
741,1230,1811
742,1230,2097
743,1236,774
744,1236,2024
745,141,1002
746,2388,2388
747,1241,1514
748,1242,1236
749,1242,2118
750,144,141
751,144,146
752,144,453
753,144,1002
754,1243,1505
755,2394,2397
756,2395,3181
757,146,907
758,1247,1330
759,149,149
760,149,326
761,150,149
762,150,326
763,152,573
764,2404,2960
765,1253,1253
766,1255,1255
767,1254,1721
768,1254,754
769,1254,2043
770,1256,1818
771,2406,2406
772,158,970
773,160,854
774,1261,1750
775,1264,1284
776,164,952
777,1268,2120
778,167,639
779,170,306
780,170,494
781,1273,1339
782,1273,1454
783,1273,1668
784,1273,1714
785,2416,2629
786,172,56
787,172,1168
788,172,1934
789,173,108
790,173,384
791,173,514
792,2420,2437
793,1277,2043
794,2422,2371
795,1278,2020
796,1279,779
797,1279,1976
798,175,479
799,2426,2756
800,178,228
801,178,232
802,178,236
803,179,1075
804,179,1282
805,179,267
806,179,297
807,179,438
808,179,1650
809,179,573
810,179,646
811,179,779
812,179,1921
813,179,1991
814,2430,2430
815,183,2207
816,183,185
817,183,452
818,183,605
819,183,3117
820,184,54
821,184,106
822,184,1249
823,184,422
824,184,539
825,184,586
826,184,1761
827,184,694
828,184,697
829,184,714
830,184,3252
831,184,999
832,184,1000
833,2434,2767
834,2436,2436
835,2438,2465
836,2440,2425
837,192,607
838,1291,1344
839,1292,1854
840,1292,1953
841,1293,1930
842,201,1494
843,201,383
844,201,2125
845,202,255
846,203,239
847,1297,1013
848,1297,1089
849,1297,1725
850,204,204
851,204,650
852,204,945
853,2448,2563
854,207,499
855,209,347
856,2455,2850
857,2455,2851
858,2455,861
859,1307,2036
860,1307,2037
861,217,724
862,218,65
863,218,1247
864,218,2401
865,218,1489
866,218,2638
867,218,1724
868,218,725
869,218,732
870,218,2104
871,218,3303
872,1310,1610
873,1310,2116
874,1312,1019
875,1312,1493
876,1314,1583
877,2462,2908
878,230,146
879,230,148
880,230,177
881,230,411
882,230,480
883,230,621
884,230,625
885,2467,2470
886,243,126
887,243,617
888,245,722
889,245,1009
890,1338,1332
891,1343,1412
892,1343,404
893,1343,1881
894,262,541
895,262,673
896,262,797
897,2486,2583
898,1347,1089
899,263,26
900,263,122
901,263,311
902,263,344
903,263,424
904,263,425
905,263,426
906,263,566
907,263,685
908,263,768
909,263,769
910,263,796
911,263,840
912,264,723
913,264,815
914,2487,3185
915,265,69
916,265,107
917,265,194
918,265,501
919,265,502
920,265,567
921,265,655
922,265,888
923,266,65
924,266,88
925,266,152
926,266,297
927,266,685
928,266,732
929,266,3191
930,266,905
931,266,2081
932,1348,1353
933,1348,1965
934,1349,1290
935,1349,2031
936,1349,2124
937,1351,1893
938,2489,2391
939,2490,2578
940,268,561
941,268,668
942,269,80
943,1352,1207
944,1352,1449
945,1352,1539
946,270,868
947,2491,2223
948,271,690
949,272,103
950,272,262
951,272,285
952,272,310
953,272,516
954,272,827
955,272,887
956,1353,1965
957,273,432
958,273,433
959,1354,1019
960,1354,2856
961,274,36
962,274,63
963,274,83
964,274,203
965,274,735
966,275,28
967,275,54
968,275,105
969,275,106
970,275,1249
971,275,153
972,275,469
973,275,619
974,275,697
975,275,956
976,275,987
977,275,1000
978,276,69
979,276,107
980,276,463
981,276,555
982,276,580
983,276,581
984,276,655
985,276,827
986,276,888
987,276,901
988,276,902
989,278,1267
990,278,182
991,278,2464
992,278,310
993,278,444
994,278,1724
995,278,828
996,279,2292
997,279,210
998,279,358
999,279,2969
1000,279,3005
1001,279,3006
1002,280,324
1003,280,350
1004,280,917
1005,1356,2061
1006,1357,2774
1007,1357,1976
1008,1359,1583
1009,2493,2854
1010,2494,1198
1011,2494,1469
1012,2494,686
1013,2494,3040
1014,2496,2496
1015,281,144
1016,281,418
1017,281,584
1018,281,861
1019,282,631
1020,1363,1759
1021,1363,1946
1022,1366,1727
1023,1366,2043
1024,283,263
1025,283,311
1026,284,1513
1027,284,732
1028,285,94
1029,285,159
1030,285,2482
1031,285,356
1032,285,445
1033,285,697
1034,285,896
1035,1368,1355
1036,1368,1414
1037,1368,1415
1038,1368,1476
1039,2499,2191
1040,1371,1078
1041,1371,2140
1042,1372,1904
1043,2500,2500
1044,1373,1083
1045,1373,1152
1046,1373,1373
1047,1374,1061
1048,1374,1062
1049,1374,1177
1050,1374,1410
1051,1374,1726
1052,1374,1979
1053,1374,2035
1054,1374,2149
1055,286,545
1056,2501,2861
1057,2501,3180
1058,1376,1802
1059,1376,762
1060,2502,2377
1061,287,170
1062,287,675
1063,287,692
1064,288,917
1065,1379,1074
1066,1379,1462
1067,1379,1504
1068,1379,1605
1069,1380,1014
1070,1380,1059
1071,1380,1378
1072,1380,1591
1073,1381,1162
1074,1381,1268
1075,1381,2079
1076,289,732
1077,290,157
1078,290,163
1079,290,252
1080,290,260
1081,290,784
1082,291,67
1083,291,106
1084,291,152
1085,291,153
1086,291,154
1087,291,159
1088,291,167
1089,291,216
1090,291,317
1091,291,336
1092,291,356
1093,291,445
1094,291,462
1095,291,470
1096,291,482
1097,291,501
1098,291,516
1099,291,590
1100,291,1714
1101,291,640
1102,291,673
1103,291,683
1104,291,694
1105,291,708
1106,291,746
1107,291,3130
1108,291,926
1109,291,927
1110,292,233
1111,1382,1344
1112,1382,1889
1113,293,169
1114,293,213
1115,293,396
1116,293,397
1117,293,651
1118,293,778
1119,294,588
1120,1383,1115
1121,1383,1272
1122,1383,1649
1123,1383,1650
1124,1383,1956
1125,2507,3074
1126,295,228
1127,295,232
1128,295,236
1129,295,475
1130,295,535
1131,295,602
1132,295,634
1133,295,732
1134,295,771
1135,295,882
1136,1385,1385
1137,296,25
1138,296,69
1139,296,655
1140,296,1007
1141,1386,1358
1142,1386,1384
1143,1386,341
1144,1386,1566
1145,1386,1757
1146,1386,1758
1147,2508,2215
1148,1387,1073
1149,1387,1169
1150,2509,2638
1151,2509,2649
1152,2509,3301
1153,1388,1982
1154,1388,1983
1155,297,122
1156,297,127
1157,297,1232
1158,297,504
1159,297,541
1160,297,3015
1161,297,797
1162,297,802
1163,1389,1146
1164,298,764
1165,298,1010
1166,1390,1148
1167,1390,1672
1168,1390,1688
1169,1391,1582
1170,1392,1090
1171,1392,1608
1172,2511,3206
1173,2512,2182
1174,299,468
1175,2514,2599
1176,1395,1313
1177,1396,1236
1178,1397,3008
1179,1397,2093
1180,300,418
1181,2515,3133
1182,2517,2367
1183,2518,2846
1184,301,2245
1185,301,68
1186,1401,1109
1187,1401,1401
1188,2519,2254
1189,2520,3024
1190,302,251
1191,302,438
1192,302,746
1193,302,804
1194,302,911
1195,303,180
1196,303,841
1197,2521,2557
1198,304,304
1199,304,634
1200,1405,1445
1201,1406,1080
1202,1406,1314
1203,1406,1316
1204,1406,1359
1205,1406,1364
1206,1406,1367
1207,1406,1370
1208,1406,1380
1209,1406,1584
1210,1406,1658
1211,1406,1715
1212,1406,1731
1213,1406,1732
1214,1406,1733
1215,1406,1736
1216,1406,1737
1217,1406,1822
1218,1406,1923
1219,1406,1941
1220,1406,2070
1221,1406,2135
1222,1407,1179
1223,1408,1715
1224,305,228
1225,305,232
1226,305,236
1227,1409,1745
1228,2522,3223
1229,2523,2431
1230,308,868
1231,308,1986
1232,1411,1225
1233,1411,1679
1234,309,161
1235,1413,1216
1236,1413,1240
1237,2525,2446
1238,1414,1025
1239,1414,1355
1240,1414,1368
1241,1414,1415
1242,1414,1476
1243,2528,2342
1244,311,2529
1245,311,2530
1246,2530,2529
1247,1416,1144
1248,1416,1231
1249,1416,1234
1250,1416,1249
1251,1416,1284
1252,1416,1431
1253,1416,2157
1254,312,315
1255,313,315
1256,314,315
1257,2531,2533
1258,316,622
1259,2534,2473
1260,2534,2609
1261,2535,2534
1262,318,51
1263,318,481
1264,318,597
1265,2536,2280
1266,2537,2537
1267,1418,1306
1268,319,135
1269,1419,1921
1270,1420,2260
1271,1420,432
1272,1420,2699
1273,1420,1770
1274,1420,3107
1275,1421,1216
1276,1421,1765
1277,1421,1933
1278,2538,2309
1279,1423,1285
1280,1423,1542
1281,1423,1845
1282,1423,1980
1283,320,1009
1284,2540,2469
1285,2540,3033
1286,2541,2542
1287,2541,2944
1288,1424,1628
1289,1426,2119
1290,323,109
1291,323,133
1292,323,512
1293,323,513
1294,323,514
1295,2545,3274
1296,1428,1429
1297,2546,2191
1298,2547,2893
1299,325,149
1300,325,326
1301,326,324
1302,326,350
1303,326,591
1304,326,1701
1305,326,917
1306,328,617
1307,329,36
1308,329,63
1309,329,97
1310,329,114
1311,329,661
1312,329,821
1313,329,948
1314,1431,2193
1315,330,137
1316,331,66
1317,2550,3004
1318,2550,3005
1319,332,2342
1320,332,597
1321,333,722
1322,1435,1436
1323,1435,2008
1324,1436,1434
1325,2551,2551
1326,2552,2456
1327,2552,2478
1328,1437,1388
1329,1437,1982
1330,1438,1329
1331,1438,1342
1332,1439,1440
1333,337,287
1334,337,675
1335,2553,2402
1336,2553,2405
1337,338,69
1338,338,107
1339,338,463
1340,338,555
1341,338,580
1342,338,581
1343,338,655
1344,338,827
1345,338,888
1346,338,901
1347,338,902
1348,2554,2255
1349,339,2799
1350,339,1858
1351,339,813
1352,339,3158
1353,2556,3255
1354,1443,1534
1355,1443,1535
1356,2558,2224
1357,2558,2780
1358,2558,3022
1359,341,868
1360,1444,1439
1361,1444,1440
1362,1445,2024
1363,2559,246
1364,2559,3120
1365,2560,2581
1366,1446,1361
1367,1446,1377
1368,1446,1447
1369,1446,1448
1370,1448,1602
1371,2562,2563
1372,1450,2119
1373,2564,2359
1374,1451,1287
1375,2566,2567
1376,2568,2757
1377,342,771
1378,2569,2729
1379,343,1804
1380,343,869
1381,2571,2570
1382,344,2570
1383,2572,3192
1384,1454,1273
1385,2573,2965
1386,1455,2072
1387,2574,3217
1388,2575,3163
1389,1456,1228
1390,1456,1232
1391,1456,1235
1392,1456,1588
1393,1457,1232
1394,1457,1550
1395,1458,1850
1396,1459,1104
1397,1460,1061
1398,1460,1124
1399,1460,1140
1400,1460,1218
1401,1460,1374
1402,1460,1464
1403,1460,1761
1404,1460,1781
1405,1460,1979
1406,1461,1243
1407,1461,1648
1408,1461,628
1409,1461,2005
1410,348,170
1411,348,630
1412,348,982
1413,2579,2407
1414,2579,351
1415,2580,2579
1416,2580,2770
1417,1463,1590
1418,1464,1184
1419,1464,1761
1420,349,1177
1421,349,574
1422,349,575
1423,349,619
1424,350,515
1425,1465,1298
1426,2582,2662
1427,1466,2045
1428,352,2583
1429,352,353
1430,352,354
1431,353,164
1432,353,421
1433,354,2259
1434,354,2407
1435,354,2579
1436,354,2580
1437,354,351
1438,354,353
1439,354,2585
1440,354,2586
1441,354,2770
1442,354,1958
1443,355,356
1444,2584,2586
1445,2584,2672
1446,2585,2584
1447,2586,2584
1448,2586,2585
1449,2586,2586
1450,359,358
1451,1467,1467
1452,2587,2587
1453,1468,1467
1454,2589,2589
1455,360,361
1456,362,971
1457,1469,686
1458,363,363
1459,364,51
1460,364,103
1461,364,167
1462,364,234
1463,364,244
1464,364,251
1465,364,253
1466,364,259
1467,364,302
1468,364,355
1469,364,365
1470,364,382
1471,364,462
1472,364,470
1473,364,481
1474,364,482
1475,364,483
1476,364,516
1477,364,517
1478,364,523
1479,364,525
1480,364,550
1481,364,673
1482,364,697
1483,364,701
1484,364,706
1485,364,745
1486,364,746
1487,364,777
1488,364,804
1489,364,910
1490,364,911
1491,364,918
1492,365,2446
1493,2590,2178
1494,2590,2476
1495,2591,2697
1496,2591,2698
1497,2591,821
1498,1470,1453
1499,1470,1704
1500,1470,1705
1501,1470,1944
1502,1470,1954
1503,1470,1955
1504,1470,1980
1505,1470,2002
1506,2592,3296
1507,369,651
1508,2593,2199
1509,2593,62
1510,2593,1312
1511,2593,3166
1512,2593,3187
1513,2594,2325
1514,2594,2595
1515,2595,2325
1516,2595,2594
1517,370,135
1518,370,1337
1519,371,895
1520,1472,1585
1521,1473,1304
1522,1473,1472
1523,1473,1569
1524,1473,1570
1525,1474,1921
1526,1474,2065
1527,1475,1679
1528,1475,2036
1529,372,69
1530,372,107
1531,372,194
1532,372,501
1533,372,502
1534,372,655
1535,372,888
1536,372,1007
1537,2598,2548
1538,373,94
1539,373,2463
1540,373,251
1541,373,262
1542,373,374
1543,373,444
1544,373,445
1545,373,3014
1546,373,3015
1547,374,94
1548,374,444
1549,374,445
1550,1477,1909
1551,375,515
1552,375,630
1553,2599,3093
1554,378,2339
1555,378,2596
1556,378,1633
1557,378,947
1558,2600,3109
1559,1478,1439
1560,1478,1440
1561,2601,2642
1562,1479,1086
1563,1479,1480
1564,1479,1661
1565,1479,2012
1566,1481,1144
1567,1481,2139
1568,2603,2271
1569,2603,2602
1570,2603,2809
1571,1482,1482
1572,2604,2766
1573,1483,1310
1574,1483,2116
1575,1484,1346
1576,2606,2607
1577,2607,2606
1578,2607,2608
1579,1488,1872
1580,2611,2612
1581,1492,56
1582,1492,1157
1583,1492,1492
1584,381,119
1585,381,605
1586,381,606
1587,381,684
1588,381,713
1589,2613,2605
1590,1493,1738
1591,2614,2617
1592,2614,2619
1593,2615,2285
1594,2615,2615
1595,2615,2616
1596,2616,2614
1597,2616,2617
1598,2616,2618
1599,2618,2617
1600,2619,2618
1601,1494,2125
1602,383,108
1603,383,384
1604,383,514
1605,384,514
1606,2621,2620
1607,385,202
1608,385,386
1609,386,202
1610,386,240
1611,387,202
1612,387,434
1613,387,649
1614,387,650
1615,2622,2859
1616,388,249
1617,388,579
1618,388,676
1619,389,196
1620,389,334
1621,389,467
1622,389,579
1623,389,584
1624,389,636
1625,389,936
1626,389,973
