,nodeA,nodeB,weight
0,163,402,1
1,163,659,1
2,163,1696,1
3,163,2295,1
4,163,1274,1
5,163,1286,1
6,163,1544,1
7,163,2600,1
8,163,2363,1
9,163,1905,1
10,163,1611,1
11,163,141,1
12,163,1807,1
13,163,1110,1
14,163,174,1
15,163,2521,1
16,163,1792,1
17,163,1675,1
18,163,1334,1
19,163,813,1
20,163,1799,1
21,163,1943,1
22,163,2077,1
23,163,765,1
24,163,769,1
25,163,781,1
26,163,940,1
27,163,942,1
28,163,1590,1
29,163,1734,1
30,163,1872,1
31,163,2286,1
32,163,390,1
33,163,1717,1
34,163,1030,1
35,163,2274,1
36,163,2518,1
37,163,606,1
38,163,800,1
39,163,1575,1
40,163,546,1
41,163,1070,1
42,163,309,1
43,163,935,1
44,163,1205,1
45,163,1571,1
46,163,1971,1
47,163,1127,1
48,163,530,1
49,163,856,1
50,163,2604,1
51,163,910,1
52,163,2173,1
53,163,191,1
54,163,1253,1
55,163,1728,1
56,163,1729,1
57,163,1206,1
58,163,2177,1
59,163,1136,1
60,163,1457,1
61,163,2265,1
62,163,1225,1
63,163,2563,1
64,163,1689,1
65,163,1498,1
66,163,563,1
67,163,2396,1
68,163,717,1
69,163,1890,1
70,163,188,1
71,163,982,1
72,163,1130,1
73,163,55,1
74,163,346,1
75,163,2673,1
76,163,1379,1
77,163,1380,1
78,163,1207,1
79,163,2451,1
80,163,961,1
81,163,42,1
82,163,624,1
83,163,1573,1
84,163,2232,1
85,163,145,1
86,163,2361,1
87,163,2659,1
88,163,743,1
89,163,744,1
90,163,1139,1
91,163,1572,1
92,163,1303,1
93,163,1305,1
94,163,129,1
95,163,415,1
96,163,2204,1
97,163,1224,1
98,163,219,1
99,163,2667,1
100,163,727,1
101,163,448,1
102,163,237,1
103,163,2557,1
104,163,2200,1
105,163,22,1
106,163,1218,1
107,163,2202,1
108,163,1069,1
109,163,1178,1
110,163,2175,1
111,163,966,1
112,163,1219,1
113,163,757,1
114,163,1685,1
115,163,1691,1
116,163,1850,1
117,163,1159,1
118,163,1410,1
119,163,380,1
120,163,1536,1
121,163,1650,1
122,163,1558,1
123,163,2564,1
124,163,2298,1
125,163,1362,1
126,163,1784,1
127,163,1831,1
128,163,1065,1
129,163,290,1
130,163,1277,1
131,163,395,1
132,163,1098,1
133,163,1404,1
134,163,1099,1
135,163,2196,1
136,163,2554,1
137,163,1715,1
138,163,2248,1
139,163,2251,1
140,163,2280,1
141,163,2296,1
142,163,1113,1
143,163,714,1
144,163,2638,1
145,163,602,1
146,163,1530,1
147,163,1257,1
148,163,2259,1
149,163,689,1
150,163,1060,1
151,163,2039,1
152,163,1594,1
153,163,2116,1
154,163,1775,1
155,163,422,1
156,163,2316,1
157,163,266,1
158,163,658,1
159,163,1333,1
160,163,1153,1
161,163,1515,1
162,163,1114,1
163,163,523,1
164,163,1106,1
165,163,1467,1
166,168,475,1
167,168,1756,1
168,168,2604,1
169,552,548,1
170,552,374,1
171,552,451,1
172,552,472,1
173,552,2,1
174,552,305,1
175,552,239,1
176,552,446,1
177,552,644,1
178,552,220,1
179,552,311,1
180,552,653,1
181,552,16,1
182,552,173,1
183,552,554,1
184,552,559,1
185,552,412,1
186,552,723,1
187,552,85,1
188,552,688,1
189,552,621,1
190,552,636,1
191,552,738,1
192,552,749,1
193,552,57,1
194,552,60,1
195,552,210,1
196,552,671,1
197,552,167,1
198,552,92,1
199,552,691,1
200,552,367,1
201,552,466,1
202,552,473,1
203,552,483,1
204,552,575,1
205,552,455,1
206,552,298,1
207,552,601,1
208,552,370,1
209,552,306,1
210,552,277,1
211,1459,2078,1
212,1459,2221,1
213,1459,1687,1
214,1459,2404,1
215,1459,775,1
216,1459,1540,1
217,1459,633,1
218,1459,749,1
219,1459,57,1
220,1459,45,1
221,1459,1137,1
222,1459,210,1
223,1459,671,1
224,1459,167,1
225,1459,473,1
226,1459,566,1
227,1459,804,1
228,554,446,1
229,554,1859,1
230,554,167,1
231,554,306,1
232,559,34,1
233,559,1816,1
234,559,167,1
235,682,1791,1
236,682,2430,1
237,87,383,1
238,87,47,1
239,87,2245,1
240,92,2438,1
241,1892,2131,1
242,1994,2097,1
243,1994,2241,1
244,1994,1995,1
245,1994,1800,1
246,1995,2097,1
247,1995,1907,1
248,1995,1800,1
249,523,478,1
250,523,870,1
251,523,2442,1
252,523,2600,1
253,523,1616,1
254,523,2551,1
255,523,910,1
256,523,882,1
257,523,283,1
258,523,1214,1
259,523,1687,1
260,523,1931,1
261,523,2408,1
262,523,961,1
263,523,54,1
264,523,2642,1
265,523,1676,1
266,523,508,1
267,523,540,1
268,523,415,1
269,523,1790,1
270,523,465,1
271,523,565,1
272,523,2480,1
273,523,551,1
274,523,1921,1
275,523,277,1
276,608,394,1
277,608,2230,1
278,608,680,1
279,608,975,1
280,608,179,1
281,608,133,1
282,608,611,1
283,611,899,1
284,611,2230,1
285,611,2501,1
286,611,1103,1
287,611,2340,1
288,611,2352,1
289,611,718,1
290,611,864,1
291,611,2505,1
292,611,1755,1
293,611,1763,1
294,611,2050,1
295,611,386,1
296,611,179,1
297,611,716,1
298,611,1732,1
299,611,511,1
300,611,2540,1
301,611,2676,1
302,611,2385,1
303,611,1668,1
304,611,28,1
305,611,633,1
306,611,1352,1
307,611,579,1
308,611,1493,1
309,611,133,1
310,611,1116,1
311,611,1564,1
312,611,368,1
313,611,1488,1
314,611,2378,1
315,611,938,1
316,611,1265,1
317,611,1935,1
318,611,1499,1
319,611,2260,1
320,611,1315,1
321,611,2325,1
322,611,601,1
323,611,413,1
324,1534,1597,1
325,1534,1163,1
326,1534,1556,1
327,1534,1498,1
328,1534,1278,1
329,1534,1122,1
330,1534,289,1
331,1534,1148,1
332,1535,1348,1
333,1535,629,1
334,1535,289,1
335,1537,1556,1
336,1537,1348,1
337,1537,629,1
338,1537,289,1
339,1537,1535,1
340,612,2568,1
341,612,289,1
342,612,1046,1
343,2302,403,1
344,2302,1353,1
345,2302,2111,1
346,2302,1880,1
347,2302,2104,1
348,402,403,1
349,402,681,1
350,403,2104,1
351,2309,403,1
352,2309,681,1
353,2309,1325,1
354,2527,1956,1
355,2527,2100,1
356,2527,1961,1
357,2537,1846,1
358,2537,2198,1
359,2537,451,1
360,2537,1927,1
361,1560,2198,1
362,1560,535,1
363,1560,791,1
364,1560,1161,1
365,1560,456,1
366,638,2465,1
367,638,2146,1
368,638,701,1
369,638,862,1
370,638,722,1
371,638,1808,1
372,638,1189,1
373,638,383,1
374,638,618,1
375,638,1460,1
376,638,1312,1
377,638,1468,1
378,638,1895,1
379,638,2673,1
380,638,2171,1
381,638,441,1
382,638,227,1
383,638,296,1
384,638,2541,1
385,638,2045,1
386,638,1327,1
387,638,264,1
388,638,779,1
389,638,348,1
390,638,89,1
391,638,1027,1
392,638,521,1
393,638,2426,1
394,638,375,1
395,638,1539,1
396,638,1919,1
397,638,449,1
398,747,83,1
399,747,336,1
400,747,73,1
401,747,600,1
402,747,203,1
403,747,349,1
404,747,112,1
405,747,234,1
406,747,458,1
407,747,680,1
408,747,695,1
409,747,198,1
410,747,502,1
411,747,724,1
412,747,328,1
413,747,397,1
414,747,737,1
415,747,599,1
416,747,665,1
417,747,545,1
418,747,186,1
419,747,494,1
420,747,609,1
421,747,610,1
422,747,315,1
423,747,330,1
424,747,386,1
425,747,620,1
426,747,229,1
427,747,235,1
428,747,700,1
429,747,628,1
430,747,526,1
431,747,527,1
432,747,763,1
433,747,146,1
434,747,283,1
435,747,104,1
436,747,771,1
437,747,572,1
438,747,699,1
439,747,217,1
440,747,110,1
441,747,202,1
442,747,204,1
443,747,43,1
444,747,655,1
445,747,72,1
446,747,579,1
447,747,26,1
448,747,685,1
449,747,368,1
450,747,18,1
451,747,779,1
452,747,542,1
453,747,588,1
454,747,703,1
455,747,741,1
456,747,310,1
457,747,124,1
458,747,127,1
459,747,719,1
460,747,153,1
461,747,205,1
462,747,207,1
463,747,113,1
464,747,696,1
465,747,489,1
466,747,561,1
467,747,369,1
468,747,175,1
469,747,353,1
470,747,91,1
471,747,362,1
472,66,2359,1
473,66,1248,1
474,66,2294,1
475,66,69,1
476,66,215,1
477,66,2310,1
478,66,1531,1
479,66,2441,1
480,66,2122,1
481,66,183,1
482,66,34,1
483,66,1698,1
484,66,149,1
485,66,2520,1
486,66,288,1
487,66,2157,1
488,1136,1286,1
489,1136,1030,1
490,1136,800,1
491,1136,1740,1
492,1136,1575,1
493,1136,935,1
494,1136,1063,1
495,1136,1142,1
496,1136,1018,1
497,1136,727,1
498,1136,1558,1
499,1136,1516,1
500,1136,1060,1
501,1136,1594,1
502,1136,1333,1
503,1142,1018,1
504,345,117,1
505,345,2389,1
506,345,2266,1
507,345,1924,1
508,345,261,1
509,1256,881,1
510,1351,900,1
511,2474,2425,1
512,2474,2078,1
513,580,922,1
514,580,1212,1
515,1496,1125,1
516,1497,901,1
517,1497,1163,1
518,1497,580,1
519,1497,1212,1
520,581,222,1
521,581,49,1
522,581,50,1
523,581,580,1
524,582,818,1
525,582,259,1
526,582,1792,1
527,582,1498,1
528,1498,2398,1
529,1498,1163,1
530,1498,2158,1
531,1498,1049,1
532,1498,1071,1
533,1498,1351,1
534,1498,2450,1
535,1498,1483,1
536,583,2398,1
537,583,2568,1
538,583,50,1
539,583,1214,1
540,583,1278,1
541,583,1126,1
542,583,64,1
543,583,284,1
544,583,643,1
545,583,2371,1
546,1512,1235,1
547,1512,1671,1
548,1512,949,1
549,1512,1087,1
550,1512,999,1
551,1512,1463,1
552,1512,1335,1
553,1512,1267,1
554,1512,1608,1
555,2508,1235,1
556,2508,2577,1
557,2508,2137,1
558,2508,632,1
559,2508,322,1
560,251,2560,1
561,251,6,1
562,251,932,1
563,251,1877,1
564,251,482,1
565,251,88,1
566,251,1505,1
567,344,1622,1
568,344,1,1
569,344,2617,1
570,344,2609,1
571,344,1671,1
572,344,335,1
573,344,1881,1
574,344,2339,1
575,344,2441,1
576,344,2229,1
577,344,963,1
578,344,316,1
579,344,1442,1
580,344,1445,1
581,344,2589,1
582,344,1312,1
583,344,1627,1
584,344,2032,1
585,344,2171,1
586,344,1267,1
587,344,1275,1
588,344,2290,1
589,344,2291,1
590,344,1260,1
591,344,348,1
592,344,1244,1
593,344,675,1
594,344,521,1
595,344,2426,1
596,344,1007,1
597,569,1181,1
598,569,767,1
599,569,550,1
600,569,1273,1
601,569,1092,1
602,569,1712,1
603,569,255,1
604,569,1522,1
605,569,1986,1
606,569,1457,1
607,569,1430,1
608,569,2099,1
609,569,514,1
610,569,710,1
611,569,1269,1
612,569,1000,1
613,569,456,1
614,569,1025,1
615,1484,1521,1
616,1484,1057,1
617,1484,1692,1
618,1484,1220,1
619,1484,1092,1
620,1484,931,1
621,1484,822,1
622,1484,1522,1
623,1484,1430,1
624,1484,1482,1
625,1484,1197,1
626,1484,1500,1
627,1484,1237,1
628,570,212,1
629,570,2026,1
630,570,1258,1
631,570,1381,1
632,570,1200,1
633,570,1243,1
634,570,1246,1
635,570,1524,1
636,570,1709,1
637,570,169,1
638,570,1922,1
639,570,1814,1
640,570,872,1
641,570,59,1
642,570,874,1
643,570,1245,1
644,570,1067,1
645,2486,1970,1
646,576,605,1
647,576,863,1
648,576,212,1
649,576,293,1
650,576,2026,1
651,576,1258,1
652,576,1381,1
653,576,1526,1
654,576,1200,1
655,576,330,1
656,576,354,1
657,576,1524,1
658,576,1710,1
659,576,570,1
660,576,1922,1
661,576,726,1
662,576,1801,1
663,576,834,1
664,576,839,1
665,576,1814,1
666,576,1014,1
667,576,2552,1
668,576,1932,1
669,576,59,1
670,576,874,1
671,576,1245,1
672,576,355,1
673,576,1067,1
674,2498,2147,1
675,2498,2567,1
676,2498,2500,1
677,2498,2322,1
678,2499,203,1
679,2499,2147,1
680,2499,863,1
681,2499,2376,1
682,2499,1787,1
683,2499,2505,1
684,2499,1871,1
685,2499,2357,1
686,2499,2385,1
687,2499,2422,1
688,2499,2498,1
689,2499,2500,1
690,2499,2322,1
691,2499,1418,1
692,2499,359,1
693,2499,1935,1
694,2499,1068,1
695,2500,2376,1
696,2500,2422,1
697,2500,2498,1
698,2500,2322,1
699,2500,1068,1
700,2570,480,1
701,2570,667,1
702,2570,1928,1
703,2570,1806,1
704,1122,799,1
705,1122,1194,1
706,1122,594,1
707,1123,539,1
708,1123,541,1
709,1123,1188,1
710,1123,1176,1
711,1123,75,1
712,1123,1483,1
713,1125,817,1
714,1125,818,1
715,1125,857,1
716,1125,1483,1
717,1126,2489,1
718,1126,923,1
719,1126,580,1
720,1126,1497,1
721,1126,1212,1
722,1212,817,1
723,1212,818,1
724,1212,819,1
725,1212,1552,1
726,1215,1699,1
727,1215,818,1
728,1215,819,1
729,1215,1209,1
730,1215,580,1
731,1215,1707,1
732,1215,824,1
733,1215,825,1
734,347,713,1
735,347,998,1
736,347,999,1
737,347,452,1
738,347,84,1
739,1240,912,1
740,1240,1201,1
741,1240,841,1
742,1240,897,1
743,1240,998,1
744,1240,999,1
745,1240,987,1
746,1240,1086,1
747,1240,742,1
748,1240,1141,1
749,1240,1241,1
750,1240,950,1
751,1240,84,1
752,1240,1347,1
753,1240,1147,1
754,1241,912,1
755,1241,998,1
756,1241,1141,1
757,1241,1240,1
758,1241,950,1
759,1241,84,1
760,1241,1347,1
761,1241,1147,1
762,1322,1622,1
763,1322,1020,1
764,1322,2539,1
765,1322,1027,1
766,1322,323,1
767,426,29,1
768,426,335,1
769,426,2369,1
770,426,1576,1
771,426,836,1
772,426,1187,1
773,426,2126,1
774,426,1486,1
775,426,937,1
776,426,303,1
777,426,1275,1
778,426,1061,1
779,426,1528,1
780,426,318,1
781,426,2431,1
782,1328,1423,1
783,1328,1584,1
784,1328,1101,1
785,1328,1031,1
786,1328,1513,1
787,1328,927,1
788,1328,1412,1
789,1328,1155,1
790,1328,1020,1
791,1328,1109,1
792,1328,1111,1
793,1328,1568,1
794,1328,947,1
795,1328,783,1
796,1328,785,1
797,1328,1173,1
798,1328,1107,1
799,2338,1024,1
800,2338,1478,1
801,2338,2677,1
802,2338,2127,1
803,2338,1986,1
804,2338,2443,1
805,1329,2127,1
806,1329,1049,1
807,1329,1071,1
808,1329,1986,1
809,1329,1020,1
810,427,2044,1
811,427,2295,1
812,427,1274,1
813,427,1766,1
814,427,1914,1
815,427,2255,1
816,427,1103,1
817,427,1811,1
818,427,2383,1
819,427,493,1
820,427,2453,1
821,427,1760,1
822,427,665,1
823,427,2574,1
824,427,2388,1
825,427,1399,1
826,427,1405,1
827,427,494,1
828,427,610,1
829,427,587,1
830,427,2258,1
831,427,823,1
832,427,1318,1
833,427,526,1
834,427,1547,1
835,427,2412,1
836,427,1037,1
837,427,146,1
838,427,2306,1
839,427,312,1
840,427,202,1
841,427,1283,1
842,427,1284,1
843,427,230,1
844,427,2658,1
845,427,399,1
846,427,698,1
847,427,406,1
848,427,1975,1
849,427,250,1
850,427,584,1
851,427,304,1
852,427,2448,1
853,427,2683,1
854,427,1488,1
855,427,18,1
856,427,954,1
857,427,2437,1
858,427,916,1
859,427,1999,1
860,427,674,1
861,427,946,1
862,427,1577,1
863,427,658,1
864,427,205,1
865,427,696,1
866,427,461,1
867,427,1340,1
868,427,561,1
869,427,353,1
870,427,391,1
871,430,2487,1
872,430,1617,1
873,430,2593,1
874,430,1637,1
875,430,683,1
876,430,2033,1
877,430,1165,1
878,430,1792,1
879,430,2197,1
880,430,2137,1
881,430,223,1
882,430,1020,1
883,430,524,1
884,430,1698,1
885,430,381,1
886,430,1284,1
887,430,651,1
888,430,1207,1
889,430,2343,1
890,430,547,1
891,430,1568,1
892,430,632,1
893,430,2557,1
894,430,208,1
895,430,686,1
896,430,172,1
897,430,177,1
898,430,89,1
899,430,1270,1
900,430,119,1
901,430,52,1
902,430,236,1
903,2342,2593,1
904,2342,2577,1
905,2342,2197,1
906,2342,381,1
907,2342,497,1
908,2342,2151,1
909,2342,1270,1
910,1335,1024,1
911,1335,1478,1
912,1335,944,1
913,1335,1607,1
914,1335,1512,1
915,1335,1223,1
916,1335,885,1
917,1335,1270,1
918,1335,1032,1
919,1336,1478,1
920,1336,1027,1
921,1337,944,1
922,1337,1020,1
923,1337,1335,1
924,1337,2343,1
925,1337,2300,1
926,2343,2443,1
927,1339,434,1
928,1339,2677,1
929,1339,1335,1
930,1339,1111,1
931,1339,1570,1
932,1339,2443,1
933,438,79,1
934,438,550,1
935,438,96,1
936,438,21,1
937,438,607,1
938,438,227,1
939,438,296,1
940,438,616,1
941,438,710,1
942,438,692,1
943,438,720,1
944,438,391,1
945,289,2568,1
946,289,1498,1
947,289,1278,1
948,289,64,1
949,2276,1864,1
950,2692,1370,1
951,2692,2038,1
952,2692,2172,1
953,71,929,1
954,71,677,1
955,71,2442,1
956,71,1559,1
957,71,1923,1
958,71,661,1
959,71,1641,1
960,74,906,1
961,74,1024,1
962,74,1017,1
963,74,1103,1
964,74,871,1
965,74,949,1
966,74,1220,1
967,74,1634,1
968,74,680,1
969,74,604,1
970,74,2513,1
971,74,2266,1
972,74,154,1
973,74,975,1
974,74,2654,1
975,74,2284,1
976,74,2335,1
977,74,505,1
978,74,511,1
979,74,987,1
980,74,2013,1
981,74,252,1
982,74,345,1
983,74,1676,1
984,74,622,1
985,74,547,1
986,74,881,1
987,74,787,1
988,74,2390,1
989,74,1928,1
990,74,263,1
991,74,71,1
992,74,661,1
993,74,2124,1
994,74,310,1
995,74,377,1
996,74,19,1
997,74,867,1
998,76,869,1
999,76,1128,1
1000,76,131,1
1001,76,975,1
1002,76,694,1
1003,76,1934,1
1004,76,345,1
1005,76,181,1
1006,76,2532,1
1007,76,250,1
1008,76,2390,1
1009,76,661,1
1010,76,2327,1
1011,76,1548,1
1012,76,392,1
1013,76,518,1
1014,1151,1350,1
1015,294,83,1
1016,294,1353,1
1017,294,21,1
1018,294,502,1
1019,294,1438,1
1020,294,665,1
1021,294,103,1
1022,294,186,1
1023,294,173,1
1024,294,638,1
1025,294,554,1
1026,294,191,1
1027,294,1672,1
1028,294,807,1
1029,294,252,1
1030,294,699,1
1031,294,85,1
1032,294,633,1
1033,294,636,1
1034,294,2476,1
1035,294,2430,1
1036,294,465,1
1037,294,466,1
1038,294,477,1
1039,294,483,1
1040,294,564,1
1041,294,565,1
1042,294,566,1
1043,294,588,1
1044,294,128,1
1045,294,153,1
1046,294,277,1
1047,2246,2475,1
1048,1259,1944,1
1049,1259,2213,1
1050,1259,1081,1
1051,1259,1082,1
1052,1259,893,1
1053,1259,92,1
1054,1259,2312,1
1055,1259,521,1
1056,1259,136,1
1057,1269,1312,1
1058,1269,2618,1
1059,1269,876,1
1060,1269,1260,1
1061,591,2690,1
1062,591,2155,1
1063,591,287,1
1064,591,1186,1
1065,591,453,1
1066,591,549,1
1067,591,1358,1
1068,591,2475,1
1069,591,2182,1
1070,591,848,1
1071,591,199,1
1072,591,488,1
1073,591,1032,1
1074,591,1105,1
1075,2520,2359,1
1076,2637,2652,1
1077,70,1521,1
1078,70,1692,1
1079,70,255,1
1080,70,931,1
1081,70,999,1
1082,70,1986,1
1083,75,2122,1
1084,75,2299,1
1085,75,1854,1
1086,75,1855,1
1087,75,288,1
1088,1854,2122,1
1089,1854,1976,1
1090,1854,2048,1
1091,1854,2645,1
1092,1854,2299,1
1093,1854,2482,1
1094,1854,1855,1
1095,1855,2122,1
1096,1855,2482,1
1097,1855,1854,1
1098,1864,2122,1
1099,1864,1854,1
1100,1864,1855,1
1101,84,12,1
1102,84,715,1
1103,84,998,1
1104,84,155,1
1105,84,347,1
1106,84,1240,1
1107,84,27,1
1108,84,950,1
1109,84,1803,1
1110,84,1347,1
1111,84,1550,1
1112,1028,1435,1
1113,1028,1037,1
1114,1028,206,1
1115,1028,1042,1
1116,1028,1610,1
1117,359,203,1
1118,359,2376,1
1119,359,1787,1
1120,359,2567,1
1121,359,2505,1
1122,359,1871,1
1123,359,330,1
1124,359,1320,1
1125,359,2422,1
1126,359,2498,1
1127,359,2499,1
1128,359,2322,1
1129,359,808,1
1130,359,1342,1
1131,359,1068,1
1132,476,605,1
1133,476,1091,1
1134,476,1056,1
1135,2378,2050,1
1136,2378,2335,1
1137,2378,1668,1
1138,2378,611,1
1139,1621,300,1
1140,1621,1448,1
1141,1621,1194,1
1142,1621,594,1
1143,1621,824,1
1144,1935,2340,1
1145,1935,611,1
1146,2057,2465,1
1147,2057,2695,1
1148,2057,790,1
1149,2057,1510,1
1150,228,2465,1
1151,228,2617,1
1152,228,1692,1
1153,228,259,1
1154,228,900,1
1155,228,119,1
1156,228,323,1
1157,228,52,1
1158,456,1296,1
1159,456,2455,1
1160,456,2653,1
1161,456,2099,1
1162,456,1748,1
